condition,step,category,n,rate
train0p0_validity_gated,13,correct_cfvalid_answer_decoupled,1,0.3333333333333333
train0p0_validity_gated,13,shortcut_wrong,1,0.3333333333333333
train0p0_validity_gated,13,wrong_cfinvalid,1,0.3333333333333333
train0p0_validity_gated,14,correct_cfinvalid,2,0.6666666666666666
train0p0_validity_gated,14,correct_cfvalid_answer_decoupled,1,0.3333333333333333
train0p0_validity_gated,15,correct_cfinvalid,1,0.3333333333333333
train0p0_validity_gated,15,shortcut_wrong,1,0.3333333333333333
train0p0_validity_gated,15,wrong_cfinvalid,1,0.3333333333333333
train0p0_validity_gated,16,correct_cfinvalid,2,0.6666666666666666
train0p0_validity_gated,16,malformed,1,0.3333333333333333
train0p0_validity_gated,17,correct_cfinvalid,1,0.3333333333333333
train0p0_validity_gated,17,correct_cfvalid_answer_decoupled,1,0.3333333333333333
train0p0_validity_gated,17,shortcut_wrong,1,0.3333333333333333
train0p0_validity_gated,18,correct_cfinvalid,1,0.3333333333333333
train0p0_validity_gated,18,correct_cfvalid_answer_decoupled,1,0.3333333333333333
train0p0_validity_gated,18,malformed,1,0.3333333333333333
train0p0_validity_gated,19,malformed,2,0.6666666666666666
train0p0_validity_gated,19,wrong_cfinvalid,1,0.3333333333333333
train0p0_validity_gated,20,malformed,2,0.6666666666666666
train0p0_validity_gated,20,shortcut_wrong,1,0.3333333333333333
train0p5_correct_only,1,correct_cfvalid_answer_decoupled,3,1.0
train0p5_correct_only,2,correct_cfvalid_answer_decoupled,3,1.0
train0p5_correct_only,3,correct_cfvalid_answer_decoupled,3,1.0
train0p5_correct_only,4,correct_cfvalid_answer_decoupled,3,1.0
train0p5_correct_only,5,correct_cfvalid_answer_decoupled,3,1.0
train0p5_correct_only,6,correct_cfinvalid,1,0.3333333333333333
train0p5_correct_only,6,correct_cfvalid_answer_decoupled,2,0.6666666666666666
train0p5_correct_only,7,correct_cfvalid_answer_decoupled,2,0.6666666666666666
train0p5_correct_only,7,wrong_cfinvalid,1,0.3333333333333333
train0p5_correct_only,8,correct_cfvalid_answer_decoupled,3,1.0
train0p5_correct_only,9,correct_cfvalid_answer_decoupled,3,1.0
train0p5_correct_only,10,correct_cfvalid_answer_decoupled,3,1.0
train0p5_correct_only,11,correct_cfinvalid,1,0.3333333333333333
train0p5_correct_only,11,correct_cfvalid_answer_decoupled,1,0.3333333333333333
train0p5_correct_only,11,wrong_cfinvalid,1,0.3333333333333333
train0p5_correct_only,12,correct_cfvalid_answer_decoupled,3,1.0
train0p5_correct_only,13,correct_cfinvalid,1,0.3333333333333333
train0p5_correct_only,13,malformed,1,0.3333333333333333
train0p5_correct_only,13,shortcut_wrong,1,0.3333333333333333
train0p5_correct_only,14,correct_cfinvalid,2,0.6666666666666666
train0p5_correct_only,14,shortcut_wrong,1,0.3333333333333333
train0p5_correct_only,15,correct_cfinvalid,2,0.6666666666666666
train0p5_correct_only,15,malformed,1,0.3333333333333333
train0p5_correct_only,16,correct_cfinvalid,2,0.6666666666666666
train0p5_correct_only,16,shortcut_wrong,1,0.3333333333333333
train0p5_correct_only,17,correct_cfinvalid,2,0.6666666666666666
train0p5_correct_only,17,shortcut_wrong,1,0.3333333333333333
train0p5_correct_only,18,correct_cfinvalid,1,0.3333333333333333
train0p5_correct_only,18,malformed,1,0.3333333333333333
train0p5_correct_only,18,shortcut_wrong,1,0.3333333333333333
train0p5_correct_only,19,malformed,2,0.6666666666666666
train0p5_correct_only,19,wrong_cfvalid,1,0.3333333333333333
train0p5_correct_only,20,malformed,3,1.0
train0p5_validity_gated,1,correct_cfvalid_answer_decoupled,3,1.0
train0p5_validity_gated,2,correct_cfvalid_answer_decoupled,3,1.0
train0p5_validity_gated,3,correct_cfvalid_answer_decoupled,3,1.0
train0p5_validity_gated,4,correct_cfvalid_answer_decoupled,3,1.0
train0p5_validity_gated,5,correct_cfvalid_answer_decoupled,3,1.0
train0p5_validity_gated,6,correct_cfvalid_answer_decoupled,2,0.6666666666666666
train0p5_validity_gated,6,shortcut_wrong,1,0.3333333333333333
train0p5_validity_gated,7,correct_cfvalid_answer_decoupled,2,0.6666666666666666
train0p5_validity_gated,7,wrong_cfinvalid,1,0.3333333333333333
train0p5_validity_gated,8,correct_cfvalid_answer_decoupled,2,0.6666666666666666
train0p5_validity_gated,8,shortcut_wrong,1,0.3333333333333333
train0p5_validity_gated,9,correct_cfvalid_answer_decoupled,3,1.0
train0p5_validity_gated,10,correct_cfvalid_answer_decoupled,3,1.0
train0p5_validity_gated,11,correct_cfinvalid,1,0.3333333333333333
train0p5_validity_gated,11,correct_cfvalid_answer_decoupled,2,0.6666666666666666
train0p5_validity_gated,12,correct_cfvalid_answer_decoupled,2,0.6666666666666666
train0p5_validity_gated,12,shortcut_wrong,1,0.3333333333333333
train0p5_validity_gated,13,shortcut_wrong,2,0.6666666666666666
train0p5_validity_gated,13,wrong_cfinvalid,1,0.3333333333333333
train0p5_validity_gated,14,correct_cfinvalid,2,0.6666666666666666
train0p5_validity_gated,14,shortcut_wrong,1,0.3333333333333333
train0p5_validity_gated,15,correct_cfinvalid,1,0.3333333333333333
train0p5_validity_gated,15,shortcut_wrong,1,0.3333333333333333
train0p5_validity_gated,15,wrong_cfinvalid,1,0.3333333333333333
train0p5_validity_gated,16,correct_cfinvalid,1,0.3333333333333333
train0p5_validity_gated,16,correct_cfvalid_answer_derived,1,0.3333333333333333
train0p5_validity_gated,16,shortcut_wrong,1,0.3333333333333333
train0p5_validity_gated,17,correct_cfvalid_answer_decoupled,1,0.3333333333333333
train0p5_validity_gated,17,malformed,1,0.3333333333333333
train0p5_validity_gated,17,shortcut_wrong,1,0.3333333333333333
train0p5_validity_gated,18,correct_cfinvalid,1,0.3333333333333333
train0p5_validity_gated,18,malformed,1,0.3333333333333333
train0p5_validity_gated,18,shortcut_wrong,1,0.3333333333333333
train0p5_validity_gated,19,malformed,1,0.3333333333333333
train0p5_validity_gated,19,shortcut_wrong,1,0.3333333333333333
train0p5_validity_gated,19,wrong_cfinvalid,1,0.3333333333333333
train0p5_validity_gated,20,correct_cfinvalid,1,0.3333333333333333
train0p5_validity_gated,20,malformed,1,0.3333333333333333
train0p5_validity_gated,20,shortcut_wrong,1,0.3333333333333333
