condition,step,category,n,rate
train0p5_correct_only,10,correct_cfvalid_no_gold_atom,4,0.020833333333333332
train0p5_correct_only,10,malformed,1,0.005208333333333333
train0p5_correct_only,10,shortcut_wrong,71,0.3697916666666667
train0p5_correct_only,10,wrong_cfinvalid,11,0.057291666666666664
train0p5_correct_only,10,wrong_cfvalid_no_gold_atom,5,0.026041666666666668
train0p5_correct_only,15,correct_cfinvalid_gold_atom_derived,11,0.057291666666666664
train0p5_correct_only,15,correct_cfinvalid_no_gold_atom,17,0.08854166666666667
train0p5_correct_only,15,correct_cfvalid_gold_atom_derived,5,0.026041666666666668
train0p5_correct_only,15,malformed,84,0.4375
train0p5_correct_only,15,shortcut_wrong,40,0.20833333333333334
train0p5_correct_only,15,wrong_cfinvalid,29,0.15104166666666666
train0p5_correct_only,15,wrong_cfvalid_gold_atom_derived,1,0.005208333333333333
train0p5_correct_only,15,wrong_cfvalid_no_gold_atom,5,0.026041666666666668
train0p5_correct_only,20,correct_cfinvalid_gold_atom_derived,3,0.015625
train0p5_correct_only,20,correct_cfinvalid_no_gold_atom,6,0.03125
train0p5_correct_only,20,correct_cfvalid_no_gold_atom,1,0.005208333333333333
train0p5_correct_only,20,malformed,149,0.7760416666666666
train0p5_correct_only,20,shortcut_wrong,9,0.046875
train0p5_correct_only,20,wrong_cfinvalid,21,0.109375
train0p5_correct_only,20,wrong_cfvalid_no_gold_atom,3,0.015625
train0p5_validity_gated,5,correct_cfvalid_gold_atom_derived,192,1.0
train0p5_validity_gated,10,correct_cfinvalid_gold_atom_derived,23,0.11979166666666667
train0p5_validity_gated,10,correct_cfinvalid_no_gold_atom,7,0.036458333333333336
train0p5_validity_gated,10,correct_cfvalid_gold_atom_derived,80,0.4166666666666667
train0p5_validity_gated,10,correct_cfvalid_no_gold_atom,2,0.010416666666666666
train0p5_validity_gated,10,malformed,1,0.005208333333333333
train0p5_validity_gated,10,shortcut_wrong,68,0.3541666666666667
train0p5_validity_gated,10,wrong_cfinvalid,8,0.041666666666666664
train0p5_validity_gated,10,wrong_cfvalid_no_gold_atom,3,0.015625
train0p5_validity_gated,15,correct_cfinvalid_gold_atom_derived,18,0.09375
train0p5_validity_gated,15,correct_cfinvalid_no_gold_atom,14,0.07291666666666667
train0p5_validity_gated,15,correct_cfvalid_gold_atom_derived,2,0.010416666666666666
train0p5_validity_gated,15,correct_cfvalid_no_gold_atom,4,0.020833333333333332
train0p5_validity_gated,15,malformed,83,0.4322916666666667
train0p5_validity_gated,15,shortcut_wrong,54,0.28125
train0p5_validity_gated,15,wrong_cfinvalid,12,0.0625
train0p5_validity_gated,15,wrong_cfvalid_no_gold_atom,5,0.026041666666666668
train0p5_validity_gated,20,correct_cfinvalid_gold_atom_derived,1,0.005208333333333333
train0p5_validity_gated,20,correct_cfinvalid_no_gold_atom,6,0.03125
train0p5_validity_gated,20,correct_cfvalid_gold_atom_derived,1,0.005208333333333333
train0p5_validity_gated,20,malformed,136,0.7083333333333334
train0p5_validity_gated,20,shortcut_wrong,11,0.057291666666666664
train0p5_validity_gated,20,wrong_cfinvalid,31,0.16145833333333334
train0p5_validity_gated,20,wrong_cfvalid_gold_atom_derived,1,0.005208333333333333
train0p5_validity_gated,20,wrong_cfvalid_no_gold_atom,5,0.026041666666666668
